"Port","Service","Protocol","Description"
"78","vettcp","tcp","vettcp"
"78","vettcp","udp","vettcp"
"79","finger","tcp","Finger"
"79","finger","udp","Finger"
"80","http","tcp","World Wide Web HTTP"
"80","http","udp","World Wide Web HTTP"
"80","www","tcp","World Wide Web HTTP"
"80","www","udp","World Wide Web HTTP"
"80","www-http","tcp","World Wide Web HTTP"
"80","www-http","udp","World Wide Web HTTP"
"80","http","sctp","HTTP"
"81","","","Unassigned"
"82","xfer","tcp","XFER Utility"
"82","xfer","udp","XFER Utility"
"83","mit-ml-dev","tcp","MIT ML Device"
"83","mit-ml-dev","udp","MIT ML Device"
"84","ctf","tcp","Common Trace Facility"
"84","ctf","udp","Common Trace Facility"
"85","mit-ml-dev","tcp","MIT ML Device"
"85","mit-ml-dev","udp","MIT ML Device"
"86","mfcobol","tcp","Micro Focus Cobol"
"86","mfcobol","udp","Micro Focus Cobol"
"87","","tcp","any private terminal link"
"87","","udp","any private terminal link"
"88","kerberos","tcp","Kerberos"
"88","kerberos","udp","Kerberos"
"89","su-mit-tg","tcp","SU/MIT Telnet Gateway"
"89","su-mit-tg","udp","SU/MIT Telnet Gateway"
"90","dnsix","tcp","DNSIX Securit Attribute Token Map"
"90","dnsix","udp","DNSIX Securit Attribute Token Map"
"91","mit-dov","tcp","MIT Dover Spooler"
"91","mit-dov","udp","MIT Dover Spooler"
"92","npp","tcp","Network Printing Protocol"
"92","npp","udp","Network Printing Protocol"
"93","dcp","tcp","Device Control Protocol"
"93","dcp","udp","Device Control Protocol"
"94","objcall","tcp","Tivoli Object Dispatcher"
"94","objcall","udp","Tivoli Object Dispatcher"
"95","supdup","tcp","SUPDUP"
"95","supdup","udp","SUPDUP"
"96","dixie","tcp","DIXIE Protocol Specification"
"96","dixie","udp","DIXIE Protocol Specification"
"97","swift-rvf","tcp","Swift Remote Virtural File Protocol"
"97","swift-rvf","udp","Swift Remote Virtural File Protocol"
"98","tacnews","tcp","TAC News"
"98","tacnews","udp","TAC News"
"99","metagram","tcp","Metagram Relay"
"99","metagram","udp","Metagram Relay"
"100","","","Unassigned"
"101","hostname","tcp","NIC Host Name Server"
"101","hostname","udp","NIC Host Name Server"
"102","iso-tsap","tcp","ISO-TSAP Class 0"
"102","iso-tsap","udp","ISO-TSAP Class 0"
"103","gppitnp","tcp","Genesis Point-to-Point Trans Net"
"103","gppitnp","udp","Genesis Point-to-Point Trans Net"
"104","acr-nema","tcp","ACR-NEMA Digital Imag. & Comm. 300"
"104","acr-nema","udp","ACR-NEMA Digital Imag. & Comm. 300"
"105","cso","tcp","CCSO name server protocol"
"105","cso","udp","CCSO name server protocol"
"105","csnet-ns","tcp","Mailbox Name Nameserver"
"105","csnet-ns","udp","Mailbox Name Nameserver"
"106","3com-tsmux","tcp","3COM-TSMUX"
"106","3com-tsmux","udp","3COM-TSMUX"
"107","rtelnet","tcp","Remote Telnet Service"
"107","rtelnet","udp","Remote Telnet Service"
"108","snagas","tcp","SNA Gateway Access Server"
"108","snagas","udp","SNA Gateway Access Server"
"109","pop2","tcp","Post Office Protocol - Version 2"
"109","pop2","udp","Post Office Protocol - Version 2"
"110","pop3","tcp","Post Office Protocol - Version 3"
"110","pop3","udp","Post Office Protocol - Version 3"
"111","sunrpc","tcp","SUN Remote Procedure Call"
"111","sunrpc","udp","SUN Remote Procedure Call"
"112","mcidas","tcp","McIDAS Data Transmission Protocol"
"112","mcidas","udp","McIDAS Data Transmission Protocol"
"113","ident","tcp",""
"113","auth","tcp","Authentication Service"
"113","auth","udp","Authentication Service"
"114","","","unassigned"
"115","sftp","tcp","Simple File Transfer Protocol"
"115","sftp","udp","Simple File Transfer Protocol"
"116","ansanotify","tcp","ANSA REX Notify"
"116","ansanotify","udp","ANSA REX Notify"
"117","uucp-path","tcp","UUCP Path Service"
"117","uucp-path","udp","UUCP Path Service"
"118","sqlserv","tcp","SQL Services"
"118","sqlserv","udp","SQL Services"
"119","nntp","tcp","Network News Transfer Protocol"
"119","nntp","udp","Network News Transfer Protocol"
"120","cfdptkt","tcp","CFDPTKT"
"120","cfdptkt","udp","CFDPTKT"
"121","erpc","tcp","Encore Expedited Remote Pro.Call"
"121","erpc","udp","Encore Expedited Remote Pro.Call"
"122","smakynet","tcp","SMAKYNET"
"122","smakynet","udp","SMAKYNET"
"123","ntp","tcp","Network Time Protocol"
"123","ntp","udp","Network Time Protocol"
"124","ansatrader","tcp","ANSA REX Trader"
"124","ansatrader","udp","ANSA REX Trader"
"125","locus-map","tcp","Locus PC-Interface Net Map Ser"
"125","locus-map","udp","Locus PC-Interface Net Map Ser"
"126","nxedit","tcp","NXEdit"
"126","nxedit","udp","NXEdit"
"127","locus-con","tcp","Locus PC-Interface Conn Server"
"127","locus-con","udp","Locus PC-Interface Conn Server"
"128","gss-xlicen","tcp","GSS X License Verification"
"128","gss-xlicen","udp","GSS X License Verification"
"129","pwdgen","tcp","Password Generator Protocol"
"129","pwdgen","udp","Password Generator Protocol"
"130","cisco-fna","tcp","cisco FNATIVE"
"130","cisco-fna","udp","cisco FNATIVE"
"131","cisco-tna","tcp","cisco TNATIVE"
"131","cisco-tna","udp","cisco TNATIVE"
"132","cisco-sys","tcp","cisco SYSMAINT"
"132","cisco-sys","udp","cisco SYSMAINT"
"133","statsrv","tcp","Statistics Service"
"133","statsrv","udp","Statistics Service"
"134","ingres-net","tcp","INGRES-NET Service"
"134","ingres-net","udp","INGRES-NET Service"
"135","epmap","tcp","DCE endpoint resolution"
"135","epmap","udp","DCE endpoint resolution"
"136","profile","tcp","PROFILE Naming System"
"136","profile","udp","PROFILE Naming System"
"137","netbios-ns","tcp","NETBIOS Name Service"
"137","netbios-ns","udp","NETBIOS Name Service"
"138","netbios-dgm","tcp","NETBIOS Datagram Service"
"138","netbios-dgm","udp","NETBIOS Datagram Service"
"139","netbios-ssn","tcp","NETBIOS Session Service"
"139","netbios-ssn","udp","NETBIOS Session Service"
"140","emfis-data","tcp","EMFIS Data Service"
"140","emfis-data","udp","EMFIS Data Service"
"141","emfis-cntl","tcp","EMFIS Control Service"
"141","emfis-cntl","udp","EMFIS Control Service"
"142","bl-idm","tcp","Britton-Lee IDM"
"142","bl-idm","udp","Britton-Lee IDM"
"143","imap","tcp","Internet Message Access Protocol"
"143","imap","udp","Internet Message Access Protocol"
"144","uma","tcp","Universal Management Architecture"
"144","uma","udp","Universal Management Architecture"
"145","uaac","tcp","UAAC Protocol"
"145","uaac","udp","UAAC Protocol"
"146","iso-tp0","tcp","ISO-IP0"
"146","iso-tp0","udp","ISO-IP0"
"147","iso-ip","tcp","ISO-IP"
"147","iso-ip","udp","ISO-IP"
"148","jargon","tcp","Jargon"
"148","jargon","udp","Jargon"
"149","aed-512","tcp","AED 512 Emulation Service"
"149","aed-512","udp","AED 512 Emulation Service"
"150","sql-net","tcp","SQL-NET"
"150","sql-net","udp","SQL-NET"
"151","hems","tcp","HEMS"
"151","hems","udp","HEMS"
"152","bftp","tcp","Background File Transfer Program"
"152","bftp","udp","Background File Transfer Program"
"153","sgmp","tcp","SGMP"
"153","sgmp","udp","SGMP"
"154","netsc-prod","tcp","NETSC"
"154","netsc-prod","udp","NETSC"
"155","netsc-dev","tcp","NETSC"
"155","netsc-dev","udp","NETSC"
"156","sqlsrv","tcp","SQL Service"
"156","sqlsrv","udp","SQL Service"
"157","knet-cmp","tcp","KNET/VM Command/Message Protocol"
"157","knet-cmp","udp","KNET/VM Command/Message Protocol"
"158","pcmail-srv","tcp","PCMail Server"
"158","pcmail-srv","udp","PCMail Server"
"159","nss-routing","tcp","NSS-Routing"
"159","nss-routing","udp","NSS-Routing"
"160","sgmp-traps","tcp","SGMP-TRAPS"
"160","sgmp-traps","udp","SGMP-TRAPS"
"161","snmp","tcp","SNMP"
"161","snmp","udp","SNMP"
"162","snmptrap","tcp","SNMPTRAP"
"162","snmptrap","udp","SNMPTRAP"
"163","cmip-man","tcp","CMIP/TCP Manager"
"163","cmip-man","udp","CMIP/TCP Manager"
"164","cmip-agent","tcp","CMIP/TCP Agent"
"164","cmip-agent","udp","CMIP/TCP Agent"
"165","xns-courier","tcp","Xerox"
"165","xns-courier","udp","Xerox"
"166","s-net","tcp","Sirius Systems"
"166","s-net","udp","Sirius Systems"
"167","namp","tcp","NAMP"
"167","namp","udp","NAMP"
"168","rsvd","tcp","RSVD"
"168","rsvd","udp","RSVD"
"169","send","tcp","SEND"
"169","send","udp","SEND"
"170","print-srv","tcp","Network PostScript"
"170","print-srv","udp","Network PostScript"
"171","multiplex","tcp","Network Innovations Multiplex"
"171","multiplex","udp","Network Innovations Multiplex"
"172","cl-1","tcp","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
"172","cl/1","tcp","Network Innovations CL/1"
"172","cl-1","udp","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""."
"172","cl/1","udp","Network Innovations CL/1"
"173","xyplex-mux","tcp","Xyplex"
"173","xyplex-mux","udp","Xyplex"
"174","mailq","tcp","MAILQ"
"174","mailq","udp","MAILQ"
"175","vmnet","tcp","VMNET"
"175","vmnet","udp","VMNET"
"176","genrad-mux","tcp","GENRAD-MUX"
"176","genrad-mux","udp","GENRAD-MUX"
"177","xdmcp","tcp","X Display Manager Control Protocol"
"177","xdmcp","udp","X Display Manager Control Protocol"
"178","nextstep","tcp","NextStep Window Server"
"178","nextstep","udp","NextStep Window Server"
"179","bgp","tcp","Border Gateway Protocol"
"179","bgp","udp","Border Gateway Protocol"
"179","bgp","sctp","BGP"
"180","ris","tcp","Intergraph"
"180","ris","udp","Intergraph"
"181","unify","tcp","Unify"
"181","unify","udp","Unify"
"182","audit","tcp","Unisys Audit SITP"
"182","audit","udp","Unisys Audit SITP"
"183","ocbinder","tcp","OCBinder"
"183","ocbinder","udp","OCBinder"
"184","ocserver","tcp","OCServer"
"184","ocserver","udp","OCServer"
"185","remote-kis","tcp","Remote-KIS"
"185","remote-kis","udp","Remote-KIS"
"186","kis","tcp","KIS Protocol"
"186","kis","udp","KIS Protocol"
"187","aci","tcp","Application Communication Interface"
"187","aci","udp","Application Communication Interface"
"188","mumps","tcp","Plus Five's MUMPS"
"188","mumps","udp","Plus Five's MUMPS"
"189","qft","tcp","Queued File Transport"
"189","qft","udp","Queued File Transport"
"190","gacp","tcp","Gateway Access Control Protocol"
"190","gacp","udp","Gateway Access Control Protocol"
"191","prospero","tcp","Prospero Directory Service"
"191","prospero","udp","Prospero Directory Service"
"192","osu-nms","tcp","OSU Network Monitoring System"
"192","osu-nms","udp","OSU Network Monitoring System"
"193","srmp","tcp","Spider Remote Monitoring Protocol"
"193","srmp","udp","Spider Remote Monitoring Protocol"
"194","irc","tcp","Internet Relay Chat Protocol"
"194","irc","udp","Internet Relay Chat Protocol"
"195","dn6-nlm-aud","tcp","DNSIX Network Level Module Audit"
"195","dn6-nlm-aud","udp","DNSIX Network Level Module Audit"
"196","dn6-smm-red","tcp","DNSIX Session Mgt Module Audit Redir"
"196","dn6-smm-red","udp","DNSIX Session Mgt Module Audit Redir"
"197","dls","tcp","Directory Location Service"
"197","dls","udp","Directory Location Service"
"198","dls-mon","tcp","Directory Location Service Monitor"
"198","dls-mon","udp","Directory Location Service Monitor"
"199","smux","tcp","SMUX"
"199","smux","udp","SMUX"
"200","src","tcp","IBM System Resource Controller"
"200","src","udp","IBM System Resource Controller"
"201","at-rtmp","tcp","AppleTalk Routing Maintenance"
"201","at-rtmp","udp","AppleTalk Routing Maintenance"
"202","at-nbp","tcp","AppleTalk Name Binding"
"202","at-nbp","udp","AppleTalk Name Binding"
"203","at-3","tcp","AppleTalk Unused"
"203","at-3","udp","AppleTalk Unused"
"204","at-echo","tcp","AppleTalk Echo"
"204","at-echo","udp","AppleTalk Echo"
"205","at-5","tcp","AppleTalk Unused"
"205","at-5","udp","AppleTalk Unused"
"206","at-zis","tcp","AppleTalk Zone Information"
"206","at-zis","udp","AppleTalk Zone Information"
"207","at-7","tcp","AppleTalk Unused"
"207","at-7","udp","AppleTalk Unused"
"208","at-8","tcp","AppleTalk Unused"
"208","at-8","udp","AppleTalk Unused"
"209","qmtp","tcp","The Quick Mail Transfer Protocol"
"209","qmtp","udp","The Quick Mail Transfer Protocol"
"210","z39-50","tcp","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
"210","z39.50","tcp","ANSI Z39.50"
"210","z39-50","udp","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""."
"210","z39.50","udp","ANSI Z39.50"
"211","914c-g","tcp","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
"211","914c/g","tcp","Texas Instruments 914C/G Terminal"
"211","914c-g","udp","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""."
"211","914c/g","udp","Texas Instruments 914C/G Terminal"
"212","anet","tcp","ATEXSSTR"
"212","anet","udp","ATEXSSTR"
"213","ipx","tcp","IPX"
"213","ipx","udp","IPX"
"214","vmpwscs","tcp","VM PWSCS"
"214","vmpwscs","udp","VM PWSCS"
"215","softpc","tcp","Insignia Solutions"
"215","softpc","udp","Insignia Solutions"
"216","CAIlic","tcp","Computer Associates Int'l License Server"
"216","CAIlic","udp","Computer Associates Int'l License Server"
"217","dbase","tcp","dBASE Unix"
"217","dbase","udp","dBASE Unix"
"218","mpp","tcp","Netix Message Posting Protocol"
"218","mpp","udp","Netix Message Posting Protocol"
"219","uarps","tcp","Unisys ARPs"
"219","uarps","udp","Unisys ARPs"
"220","imap3","tcp","Interactive Mail Access Protocol v3"
"220","imap3","udp","Interactive Mail Access Protocol v3"
"221","fln-spx","tcp","Berkeley rlogind with SPX auth"
"221","fln-spx","udp","Berkeley rlogind with SPX auth"
"222","rsh-spx","tcp","Berkeley rshd with SPX auth"
"222","rsh-spx","udp","Berkeley rshd with SPX auth"
"223","cdc","tcp","Certificate Distribution Center"
"223","cdc","udp","Certificate Distribution Center"
"224","masqdialer","tcp","masqdialer"
"224","masqdialer","udp","masqdialer"
"225","","","Reserved"
"226","","","Reserved"
"227","","","Reserved"
"228","","","Reserved"
"229","","","Reserved"
"230","","","Reserved"
"231","","","Reserved"
"232","","","Reserved"
"233","","","Reserved"
"234","","","Reserved"
"235","","","Reserved"
"236","","","Reserved"
"237","","","Reserved"
"238","","","Reserved"
"239","","","Reserved"
"240","","","Reserved"
"241","","","Reserved"
"242","direct","tcp","Direct"
"242","direct","udp","Direct"
"243","sur-meas","tcp","Survey Measurement"
"243","sur-meas","udp","Survey Measurement"
"244","inbusiness","tcp","inbusiness"
"244","inbusiness","udp","inbusiness"
"245","link","tcp","LINK"
"245","link","udp","LINK"
"246","dsp3270","tcp","Display Systems Protocol"
"246","dsp3270","udp","Display Systems Protocol"
"247","subntbcst-tftp","tcp","SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
"247","subntbcst_tftp","tcp","SUBNTBCST_TFTP"
"247","subntbcst-tftp","udp","SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
"247","subntbcst_tftp","udp","SUBNTBCST_TFTP"
"248","bhfhs","tcp","bhfhs"
"248","bhfhs","udp","bhfhs"
"249","","","Reserved"
"250","","","Reserved"
"251","","","Reserved"
"252","","","Reserved"
"253","","","Reserved"
"254","","","Reserved"
"255","","","Reserved"
"256","rap","tcp","RAP"
"256","rap","udp","RAP"
"257","set","tcp","Secure Electronic Transaction"
"257","set","udp","Secure Electronic Transaction"
"258","","","Unassigned"
"259","esro-gen","tcp","Efficient Short Remote Operations"
"259","esro-gen","udp","Efficient Short Remote Operations"
"260","openport","tcp","Openport"
"260","openport","udp","Openport"
"261","nsiiops","tcp","IIOP Name Service over TLS/SSL"
"261","nsiiops","udp","IIOP Name Service over TLS/SSL"
"262","arcisdms","tcp","Arcisdms"
"262","arcisdms","udp","Arcisdms"
"263","hdap","tcp","HDAP"
"263","hdap","udp","HDAP"
"264","bgmp","tcp","BGMP"
"264","bgmp","udp","BGMP"
"265","x-bone-ctl","tcp","X-Bone CTL"
"265","x-bone-ctl","udp","X-Bone CTL"
"266","sst","tcp","SCSI on ST"
"266","sst","udp","SCSI on ST"
"267","td-service","tcp","Tobit David Service Layer"
"267","td-service","udp","Tobit David Service Layer"
"268","td-replica","tcp","Tobit David Replica"
"268","td-replica","udp","Tobit David Replica"
"269","manet","tcp","MANET Protocols"
"269","manet","udp","MANET Protocols"
"270","","tcp","Reserved"
"270","gist","udp","Q-mode encapsulation for GIST messages"
"271","pt-tls","tcp","IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)"
"271","","udp","Reserved"
"272","","","Unassigned"
"273","","","Unassigned"
"274","","","Unassigned"
"275","","","Unassigned"
"276","","","Unassigned"
"277","","","Unassigned"
"278","","","Unassigned"
"279","","","Unassigned"
"280","http-mgmt","tcp","http-mgmt"
"280","http-mgmt","udp","http-mgmt"
"281","personal-link","tcp","Personal Link"
"281","personal-link","udp","Personal Link"
"282","cableport-ax","tcp","Cable Port A/X"
"282","cableport-ax","udp","Cable Port A/X"
"283","rescap","tcp","rescap"
"283","rescap","udp","rescap"
"284","corerjd","tcp","corerjd"
"284","corerjd","udp","corerjd"
"285","","","Unassigned"
"286","fxp","tcp","FXP Communication"
"286","fxp","udp","FXP Communication"
"287","k-block","tcp","K-BLOCK"
"287","k-block","udp","K-BLOCK"
"288","","","Unassigned"
"289","","","Unassigned"
"290","","","Unassigned"
"291","","","Unassigned"
"292","","","Unassigned"
"293","","","Unassigned"
"294","","","Unassigned"
"295","","","Unassigned"
"296","","","Unassigned"
"297","","","Unassigned"
"298","","","Unassigned"
"299","","","Unassigned"
"300","","","Unassigned"
"301","","","Unassigned"
"302","","","Unassigned"
"303","","","Unassigned"
"304","","","Unassigned"
"305","","","Unassigned"
"306","","","Unassigned"
"307","","","Unassigned"
"308","novastorbakcup","tcp","Novastor Backup"
"308","novastorbakcup","udp","Novastor Backup"
"309","entrusttime","tcp","EntrustTime"
"309","entrusttime","udp","EntrustTime"
"310","bhmds","tcp","bhmds"
"310","bhmds","udp","bhmds"
"311","asip-webadmin","tcp","AppleShare IP WebAdmin"
"311","asip-webadmin","udp","AppleShare IP WebAdmin"
"312","vslmp","tcp","VSLMP"
"312","vslmp","udp","VSLMP"
"313","magenta-logic","tcp","Magenta Logic"
"313","magenta-logic","udp","Magenta Logic"
"314","opalis-robot","tcp","Opalis Robot"
"314","opalis-robot","udp","Opalis Robot"
"315","dpsi","tcp","DPSI"
"315","dpsi","udp","DPSI"
"316","decauth","tcp","decAuth"
"316","decauth","udp","decAuth"
"317","zannet","tcp","Zannet"
"317","zannet","udp","Zannet"
"318","pkix-timestamp","tcp","PKIX TimeStamp"
"318","pkix-timestamp","udp","PKIX TimeStamp"
"319","ptp-event","tcp","PTP Event"
"319","ptp-event","udp","PTP Event"
"320","ptp-general","tcp","PTP General"
"320","ptp-general","udp","PTP General"
"321","pip","tcp","PIP"
"321","pip","udp","PIP"
"322","rtsps","tcp","RTSPS"
"322","rtsps","udp","RTSPS"
"323","rpki-rtr","tcp","Resource PKI to Router Protocol"
"323","","udp","Reserved"
"324","rpki-rtr-tls","tcp","Resource PKI to Router Protocol over TLS"
"324","","udp","Reserved"
"325","","","Unassigned"
"326","","","Unassigned"
"327","","","Unassigned"
"328","","","Unassigned"
"329","","","Unassigned"
"330","","","Unassigned"
"331","","","Unassigned"
"332","","","Unassigned"
"333","texar","tcp","Texar Security Port"
"333","texar","udp","Texar Security Port"
"334","","","Unassigned"
"335","","","Unassigned"
"336","","","Unassigned"
"337","","","Unassigned"
"338","","","Unassigned"
"339","","","Unassigned"
"340","","","Unassigned"
"341","","","Unassigned"
"342","","","Unassigned"
"343","","","Unassigned"
"344","pdap","tcp","Prospero Data Access Protocol"
"344","pdap","udp","Prospero Data Access Protocol"
"345","pawserv","tcp","Perf Analysis Workbench"
"345","pawserv","udp","Perf Analysis Workbench"
"346","zserv","tcp","Zebra server"
"346","zserv","udp","Zebra server"
"347","fatserv","tcp","Fatmen Server"
"347","fatserv","udp","Fatmen Server"
"348","csi-sgwp","tcp","Cabletron Management Protocol"
"348","csi-sgwp","udp","Cabletron Management Protocol"
"349","mftp","tcp","mftp"
"349","mftp","udp","mftp"
"350","matip-type-a","tcp","MATIP Type A"
"350","matip-type-a","udp","MATIP Type A"
"351","matip-type-b","tcp","MATIP Type B"
"351","matip-type-b","udp","MATIP Type B"
"351","bhoetty","tcp","bhoetty"
"351","bhoetty","udp","bhoetty"
"352","dtag-ste-sb","tcp","DTAG"
"352","dtag-ste-sb","udp","DTAG"
"352","bhoedap4","tcp","bhoedap4"
"352","bhoedap4","udp","bhoedap4"
"353","ndsauth","tcp","NDSAUTH"
"353","ndsauth","udp","NDSAUTH"
"354","bh611","tcp","bh611"
"354","bh611","udp","bh611"
"355","datex-asn","tcp","DATEX-ASN"
"355","datex-asn","udp","DATEX-ASN"
"356","cloanto-net-1","tcp","Cloanto Net 1"
"356","cloanto-net-1","udp","Cloanto Net 1"
"357","bhevent","tcp","bhevent"
"357","bhevent","udp","bhevent"
"358","shrinkwrap","tcp","Shrinkwrap"
"358","shrinkwrap","udp","Shrinkwrap"
